Entity,Code,Year,CO2 mitigation curves to meet a 1.5C target
Start in 2001,,2044,8301535700
Start in 2001,,2045,7942931000
Start in 2001,,2046,7597641700
Start in 2001,,2047,7265351700
Start in 2001,,2048,6945735000
Start in 2001,,2049,6638457000
Start in 2001,,2050,6343180300
Start in 2001,,2051,6059562000
Start in 2001,,2052,5787261000
Start in 2001,,2053,5525931000
Start in 2001,,2054,5275229700
Start in 2001,,2055,5034818000
Start in 2001,,2056,4804356000
Start in 2001,,2057,4583511000
Start in 2001,,2058,4371953000
Start in 2001,,2059,4169356800
Start in 2001,,2060,3975405800
Start in 2001,,2061,3789787100
Start in 2001,,2062,3612195000
Start in 2001,,2063,3442329900
Start in 2001,,2064,3279902000
Start in 2001,,2065,3124626000
Start in 2001,,2066,2976225000
Start in 2001,,2067,2834431000
Start in 2001,,2068,2698982000
Start in 2001,,2069,2569624000
Start in 2001,,2070,2446112000
Start in 2001,,2071,2328208000
Start in 2001,,2072,2215681000
Start in 2001,,2073,2108308100
Start in 2001,,2074,2005873900
Start in 2001,,2075,1908171000
Start in 2001,,2076,1814999000
Start in 2001,,2077,1726163100
Start in 2001,,2078,1641477900
Start in 2001,,2079,1560763000
Start in 2001,,2080,1483845900
Start in 2001,,2081,1410561000
Start in 2001,,2082,1340746000
Start in 2001,,2083,1274249000
Start in 2001,,2084,1210922000
Start in 2001,,2085,1150623000
Start in 2001,,2086,1093214100
Start in 2001,,2087,1038567000
Start in 2001,,2088,986555000
Start in 2001,,2089,937057000
Start in 2001,,2090,889960000
Start in 2001,,2091,845151000
Start in 2001,,2092,802526000
Start in 2001,,2093,761983000
Start in 2001,,2094,723424960
Start in 2001,,2095,686760000
Start in 2001,,2096,651898050
Start in 2001,,2097,618754050
Start in 2001,,2098,587248960
Start in 2001,,2099,557303040
Start in 2001,,2100,528842980
Start in 2002,,2002,31271594000
Start in 2002,,2003,31462664000
Start in 2002,,2004,31496075000
Start in 2002,,2005,31391562000
Start in 2002,,2006,31166956000
Start in 2002,,2007,30838348000
Start in 2002,,2008,30420250000
Start in 2002,,2009,29925712000
Start in 2002,,2010,29366475000
Start in 2002,,2011,28753068000
Start in 2002,,2012,28094925000
Start in 2002,,2013,27400479000
Start in 2002,,2014,26677254000
Start in 2002,,2015,25931950000
Start in 2002,,2016,25170514000
Start in 2002,,2017,24398213000
Start in 2002,,2018,23619695000
Start in 2002,,2019,22839046000
Start in 2002,,2020,22059852000
Start in 2002,,2021,21285239000
Start in 2002,,2022,20517915000
Start in 2002,,2023,19760218000
Start in 2002,,2024,19014154000
Start in 2002,,2025,18281420000
Start in 2002,,2026,17563451000
Start in 2002,,2027,16861431000
Start in 2002,,2028,16176331000
Start in 2002,,2029,15508925000
Start in 2002,,2030,14859815000
Start in 2002,,2031,14229452000
Start in 2002,,2032,13618148000
Start in 2002,,2033,13026096000
Start in 2002,,2034,12453380000
Start in 2002,,2035,11899998000
Start in 2002,,2036,11365859000
Start in 2002,,2037,10850806000
Start in 2002,,2038,10354618000
