Entity,Code,Year,CO2 mitigation curves to meet a 2C target
Start in 2008,,2058,10400328000
Start in 2008,,2059,9977516000
Start in 2008,,2060,9569523000
Start in 2008,,2061,9176012000
Start in 2008,,2062,8796635000
Start in 2008,,2063,8431039000
Start in 2008,,2064,8078867000
Start in 2008,,2065,7739759000
Start in 2008,,2066,7413352000
Start in 2008,,2067,7099285000
Start in 2008,,2068,6797195000
Start in 2008,,2069,6506724000
Start in 2008,,2070,6227514000
Start in 2008,,2071,5959212500
Start in 2008,,2072,5701473300
Start in 2008,,2073,5453950000
Start in 2008,,2074,5216304600
Start in 2008,,2075,4988207000
Start in 2008,,2076,4769329000
Start in 2008,,2077,4559353000
Start in 2008,,2078,4357966000
Start in 2008,,2079,4164863200
Start in 2008,,2080,3979746000
Start in 2008,,2081,3802326000
Start in 2008,,2082,3632318000
Start in 2008,,2083,3469449000
Start in 2008,,2084,3313451000
Start in 2008,,2085,3164063000
Start in 2008,,2086,3021034000
Start in 2008,,2087,2884118000
Start in 2008,,2088,2753079800
Start in 2008,,2089,2627688000
Start in 2008,,2090,2507721000
Start in 2008,,2091,2392962800
Start in 2008,,2092,2283206000
Start in 2008,,2093,2178250000
Start in 2008,,2094,2077900900
Start in 2008,,2095,1981969900
Start in 2008,,2096,1890278000
Start in 2008,,2097,1802649000
Start in 2008,,2098,1718916100
Start in 2008,,2099,1638916000
Start in 2008,,2100,1562494100
Start in 2009,,2009,37043835000
Start in 2009,,2010,37636985000
Start in 2009,,2011,38047433000
Start in 2009,,2012,38293787000
Start in 2009,,2013,38393140000
Start in 2009,,2014,38361190000
Start in 2009,,2015,38212340000
Start in 2009,,2016,37959786000
Start in 2009,,2017,37615610000
Start in 2009,,2018,37190880000
Start in 2009,,2019,36695687000
Start in 2009,,2020,36139266000
Start in 2009,,2021,35530030000
Start in 2009,,2022,34875646000
Start in 2009,,2023,34183076000
Start in 2009,,2024,33458657000
Start in 2009,,2025,32708130000
Start in 2009,,2026,31936692000
Start in 2009,,2027,31149046000
Start in 2009,,2028,30349423000
Start in 2009,,2029,29541640000
Start in 2009,,2030,28729117000
Start in 2009,,2031,27914924000
Start in 2009,,2032,27101794000
Start in 2009,,2033,26292167000
Start in 2009,,2034,25488200000
Start in 2009,,2035,24691800000
Start in 2009,,2036,23904640000
Start in 2009,,2037,23128189000
Start in 2009,,2038,22363711000
Start in 2009,,2039,21612308000
Start in 2009,,2040,20874908000
Start in 2009,,2041,20152306000
Start in 2009,,2042,19445152000
Start in 2009,,2043,18753987000
Start in 2009,,2044,18079236000
Start in 2009,,2045,17421230000
Start in 2009,,2046,16780212000
Start in 2009,,2047,16156343000
Start in 2009,,2048,15549713000
Start in 2009,,2049,14960347000
